id,Tipo de inmueble,Operación,Precio,Estado,Delegación,Colonia,Núm. de recamaras,Núm. de baños,Estacionamientos,m2 de construcción,m2 de terreno,Niveles,Antigüedad,fecha_captura
64885tc,LOCAL COMERCIAL,RENTA,"$17,000 MXN",CDMX,BENITO JUAREZ,Del Valle Centro,,SI,,30,,,MAS DE 30,2025-05-16 01:27:49
64913tc,DEPARTAMENTO,RENTA,"$14,000 MXN",CDMX,COYOACAN,Alianza Popular Revolucionaria,3,1,1,90,,3,MAS DE 30,2025-05-16 01:27:52
64803tc,CASA,RENTA,"$25,000 MXN",CDMX,GUSTAVO A. MADERO,San Juan De Aragon Iv Seccion,4,2,4,220,,2,MAS DE 30,2025-05-16 01:27:55
64806tc,DEPARTAMENTO,RENTA,"$17,300 MXN",CDMX,BENITO JUAREZ,Del Valle Centro,1,1,1,72,,4,ENTRE 6 - 10 AÑOS,2025-05-16 01:27:59
64812tc,DEPARTAMENTO,RENTA,"$12,500 MXN",CDMX,TLALPAN,Villa Coapa,3,1,,65,,4,MAS DE 30,2025-05-16 01:28:01
64815tc,DEPARTAMENTO,RENTA,"$12,000 MXN",CDMX,BENITO JUAREZ,Portales Sur,2,1,,65,,4,MAS DE 30,2025-05-16 01:28:04
64818tc,DEPARTAMENTO,RENTA,"$13,000 MXN",CDMX,COYOACAN,Parque San Andres,2,1,,75,,1,MAS DE 30,2025-05-16 01:28:07
64830tc,DEPARTAMENTO,RENTA,"$12,000 MXN",CDMX,VENUSTIANO CARRANZA,Moctezuma 2a Seccion,2,1,1,71,,5,ENTRE 16 - 20 AÑOS,2025-05-16 01:28:10
64851tc,DEPARTAMENTO,RENTA,"$20,000 MXN",CDMX,ALVARO OBREGON,Los Alpes,1,1,,78,,,ENTRE 0 - 5 AÑOS,2025-05-16 01:28:13
64871tc,LOCAL COMERCIAL,RENTA,"$10,500 MXN",CDMX,GUSTAVO A. MADERO,San Juan De Aragon I Seccion,,1,,15,,,,2025-05-16 01:28:15
64968tc,DEPARTAMENTO,RENTA,"$16,000 MXN",CDMX,CUAUHTEMOC,Roma Norte,2,1,,60,,3,MAS DE 30,2025-05-16 01:28:19
64769tc,DEPARTAMENTO,RENTA,"$25,000 MXN",CDMX,BENITO JUAREZ,Del Valle Centro,3,2,1,100,,5,MAS DE 30,2025-05-16 01:28:23
64770tc,DEPARTAMENTO,RENTA,"$9,000 MXN",CDMX,TLAHUAC,Granjas Cabrera,2,SI,1,70,,,,2025-05-16 01:28:25
64772tc,DEPARTAMENTO,RENTA,"$6,500 MXN",CDMX,TLALPAN,Pedregal De San Nicolas 1a Seccion,2,1,,50,,2,ENTRE 6 - 10 AÑOS,2025-05-16 01:28:28
64787tc,LOCAL COMERCIAL,RENTA,"$9,500 MXN",CDMX,TLALPAN,Tlalpan Centro,,SI,,20,,,,2025-05-16 01:28:31
64790tc,DEPARTAMENTO,RENTA,"$5,500 MXN",CDMX,GUSTAVO A. MADERO,Industrial,1,1,,30,,1,,2025-05-16 01:28:34
64804tc,DEPARTAMENTO,RENTA,"$26,000 MXN",CDMX,BENITO JUAREZ,Del Valle Norte,2,2,1,103,,3,ENTRE 11 - 15 AÑOS,2025-05-16 01:28:38
64834tc,DEPARTAMENTO,RENTA,"$35,000 MXN",CDMX,BENITO JUAREZ,San Jose Insurgentes,3,SI,2,160,,,ENTRE 16 - 20 AÑOS,2025-05-16 01:28:41
64861tc,DEPARTAMENTO,RENTA,"$16,000 MXN",CDMX,TLALPAN,Chimalcoyoc,1,2,1,70,,,,2025-05-16 01:28:44
64777tc,DEPARTAMENTO,RENTA,"$14,000 MXN",CDMX,CUAUHTEMOC,Doctores,2,1,1,50,,6,,2025-05-16 01:28:47
64782tc,DEPARTAMENTO,RENTA,"$15,000 MXN",CDMX,CUAUHTEMOC,Doctores,2,1,1,56,,10,,2025-05-16 01:28:49
64717tc,BODEGA,RENTA,"$95,000 MXN",CDMX,TLALPAN,Lomas Del Pedregal,,,,500,,,,2025-05-16 01:28:53
64721tc,DEPARTAMENTO,RENTA,"$19,500 MXN",CDMX,BENITO JUAREZ,Napoles,2,1,1,90,,,,2025-05-16 01:28:56
64742tc,DEPARTAMENTO,RENTA,"$10,000 MXN",CDMX,COYOACAN,Culhuacan Ctm Seccion Iii,3,1,1,70,,3,MAS DE 30,2025-05-16 01:29:00
64743tc,DEPARTAMENTO,RENTA,"$11,000 MXN",CDMX,COYOACAN,Pedregal De Carrasco,2,1,1,51,,,,2025-05-16 01:29:03
64750tc,DEPARTAMENTO,RENTA,"$11,400 MXN",CDMX,MIGUEL HIDALGO,Anahuac I Seccion,2,1,,45,,,,2025-05-16 01:29:06
64778tc,LOCAL COMERCIAL,RENTA,"$5,900 MXN",CDMX,TLALPAN,Ejidos De San Pedro Martir,,SI,,20,,,,2025-05-16 01:29:09
64884tc,DEPARTAMENTO,RENTA,"$25,000 MXN",CDMX,COYOACAN,Insurgentes Cuicuilco,2,2,1,140,,,,2025-05-16 01:29:13
64661tc,CASA DUPLEX,RENTA,"$17,000 MXN",CDMX,TLALPAN,Narciso Mendoza,3,2,,65,,,,2025-05-16 01:29:16
64686tc,DEPARTAMENTO,RENTA,"$8,500 MXN",CDMX,IZTACALCO,Agricola Pantitlan,2,1,,54,,5,ENTRE 21 - 30 AÑOS,2025-05-16 01:29:20
64696tc,LOCAL COMERCIAL,RENTA,"$8,000 MXN",CDMX,MIGUEL HIDALGO,Torre Blanca,,1,,30,,,MAS DE 30,2025-05-16 01:29:24
64701tc,DEPARTAMENTO,RENTA,"$5,800 MXN",CDMX,ALVARO OBREGON,Tizapan,1,1,,30,,,,2025-05-16 01:29:26
64704tc,OFICINA,RENTA,"$27,500 MXN",CDMX,MIGUEL HIDALGO,Modelo Pensil,,SI,1,76,,3,ENTRE 6 - 10 AÑOS,2025-05-16 01:29:28
64706tc,EDIFICIO,RENTA,"$16,500 MXN",CDMX,BENITO JUAREZ,Independencia,,,,,,2,ENTRE 16 - 20 AÑOS,2025-05-16 01:29:32
64724tc,DEPARTAMENTO,RENTA,"$21,000 MXN",CDMX,BENITO JUAREZ,Del Valle Centro,2,2,1,90,,,,2025-05-16 01:29:35
64738tc,LOCAL COMERCIAL,RENTA,"$5,900 MXN",CDMX,TLALPAN,Ejidos De San Pedro Martir,,SI,,20,,,,2025-05-16 01:29:37
64603tc,CASA,RENTA,"$26,500 MXN",CDMX,CUAUHTEMOC,Roma Sur,2,SI,,110,,2,MAS DE 30,2025-05-16 01:29:40
64647tc,DEPARTAMENTO,RENTA,"$13,000 MXN",CDMX,COYOACAN,Parque San Andres,2,2,1,74,,7,MAS DE 30,2025-05-16 01:29:42
64664tc,PENT HOUSE,RENTA,"$65,000 MXN",CDMX,MIGUEL HIDALGO,Anzures,4,SI,2,,,9,MAS DE 30,2025-05-16 01:29:45
64665tc,CASA,RENTA,"$17,000 MXN",CDMX,XOCHIMILCO,El Mirador,3,SI,2,140,,3,ENTRE 21 - 30 AÑOS,2025-05-16 01:29:48
64668tc,DEPARTAMENTO,RENTA,"$7,500 MXN",CDMX,COYOACAN,Ajusco,1,1,,40,,3,,2025-05-16 01:29:53
64671tc,DEPARTAMENTO,RENTA,"$4,500 MXN",CDMX,COYOACAN,Ajusco,1,1,,15,,3,,2025-05-16 01:29:57
64672tc,DEPARTAMENTO,RENTA,"$3,500 MXN",CDMX,COYOACAN,Ajusco,1,1,,10,,,,2025-05-16 01:29:59
64698tc,DEPARTAMENTO,RENTA,"$6,500 MXN",CDMX,XOCHIMILCO,Santiago Tepalcatlalpan,2,1,,55,,2,,2025-05-16 01:30:01
64737tc,LOCAL COMERCIAL,RENTA,"$60,000 MXN",CDMX,COYOACAN,Del Carmen,,1,,,,,,2025-05-16 01:30:05
64744tc,DEPARTAMENTO,RENTA,"$11,000 MXN",CDMX,COYOACAN,Pedregal De Santa Ursula,2,2,,80,,2,ENTRE 0 - 5 AÑOS,2025-05-16 01:30:09
64608tc,DEPARTAMENTO,RENTA,"$8,000 MXN",CDMX,IZTAPALAPA,Sector Popular,2,1,,45,,,,2025-05-16 01:30:12
64615tc,LOCAL COMERCIAL,RENTA,"$15,000 MXN",CDMX,COYOACAN,Viejo Ejido De Santa Ursula Coapa,,SI,,45,,,,2025-05-16 01:30:16
64617tc,OFICINA,RENTA,"$11,100 MXN",CDMX,CUAUHTEMOC,Cuauhtemoc,,SI,1,50,,,MAS DE 30,2025-05-16 01:30:19
64619tc,DEPARTAMENTO,RENTA,"$16,500 MXN",CDMX,CUAUHTEMOC,San Rafael,2,1,,75,,4,MAS DE 30,2025-05-16 01:30:22
64622tc,LOCAL COMERCIAL,RENTA,"$4,000 MXN",CDMX,IZTAPALAPA,Apatlaco,,1,,,,,,2025-05-16 01:30:26
64625tc,DEPARTAMENTO,RENTA,"$8,000 MXN",CDMX,IZTACALCO,Granjas Mexico,1,1,,50,,,ENTRE 0 - 5 AÑOS,2025-05-16 01:30:29
64636tc,LOCAL COMERCIAL,RENTA,"$4,800 MXN",CDMX,IZTAPALAPA,Constitucion De 1917,,1,,16,,,,2025-05-16 01:30:31
64657tc,CASA,RENTA,"$15,000 MXN",CDMX,COYOACAN,Culhuacan Ctm Seccion V,4,2,2,75,,2,MAS DE 30,2025-05-16 01:30:35
64725tc,DEPARTAMENTO,RENTA,"$16,900 MXN",CDMX,MIGUEL HIDALGO,Escandon I Seccion,2,1,1,73,,4,ENTRE 6 - 10 AÑOS,2025-05-16 01:30:38
64601tc,OFICINA,RENTA,"$6,000 MXN",CDMX,GUSTAVO A. MADERO,Industrial,,SI,,32,,,,2025-05-16 01:30:41
64587tc,DEPARTAMENTO,RENTA,"$12,000 MXN",CDMX,VENUSTIANO CARRANZA,Lorenzo Boturini,2,1,1,55,,4,ENTRE 11 - 15 AÑOS,2025-05-16 01:30:43
64588tc,DEPARTAMENTO,RENTA,"$8,000 MXN",CDMX,IZTAPALAPA,Unidad Modelo,1,1,,65,,,,2025-05-16 01:30:47
64591tc,LOCAL COMERCIAL,RENTA,"$43,000 MXN",CDMX,CUAUHTEMOC,Obrera,,SI,,152,,,ENTRE 6 - 10 AÑOS,2025-05-16 01:30:51
64594tc,DEPARTAMENTO,RENTA,"$15,000 MXN",CDMX,CUAUHTEMOC,Juarez,1,1,,70,,4,MAS DE 30,2025-05-16 01:30:53
64598tc,CASA EN CONDOMINIO,RENTA,"$7,500 MXN",CDMX,ALVARO OBREGON,Florida,1,SI,1,20,,,,2025-05-16 01:30:56
64609tc,DEPARTAMENTO,RENTA,"$11,000 MXN",CDMX,VENUSTIANO CARRANZA,Merced Balbuena,2,1,1,60,,6,ENTRE 0 - 5 AÑOS,2025-05-16 01:31:00
64611tc,DEPARTAMENTO,RENTA,"$10,000 MXN",CDMX,MIGUEL HIDALGO,Popotla,2,1,1,59,,5,ENTRE 16 - 20 AÑOS,2025-05-16 01:31:02
64633tc,DEPARTAMENTO,RENTA,"$12,000 MXN",CDMX,BENITO JUAREZ,Portales Sur,2,1,,65,,1,,2025-05-16 01:31:05
64656tc,DEPARTAMENTO,RENTA,"$9,000 MXN",CDMX,COYOACAN,Culhuacan Ctm Seccion V,2,1,,65,,2,MAS DE 30,2025-05-16 01:31:09
64572tc,DEPARTAMENTO,RENTA,"$15,000 MXN",CDMX,CUAUHTEMOC,San Rafael,2,1,,85,,4,,2025-05-16 01:31:12
64576tc,DEPARTAMENTO,RENTA,"$10,000 MXN",CDMX,IZTACALCO,Santiago Norte,2,1,1,60,,,ENTRE 16 - 20 AÑOS,2025-05-16 01:31:15
64614tc,DEPARTAMENTO,RENTA,"$16,000 MXN",CDMX,BENITO JUAREZ,San Pedro De Los Pinos,2,1,,95,,1,ENTRE 21 - 30 AÑOS,2025-05-16 01:31:19
64563tc,DEPARTAMENTO,RENTA,"$12,000 MXN",CDMX,ALVARO OBREGON,San Pedro De Los Pinos,2,1,1,60,,6,ENTRE 21 - 30 AÑOS,2025-05-16 01:31:23
64568tc,DEPARTAMENTO,RENTA,"$14,000 MXN",CDMX,COYOACAN,Pedregal De Santo Domingo,2,SI,,100,,,ENTRE 0 - 5 AÑOS,2025-05-16 01:31:25
64635tc,DEPARTAMENTO,RENTA,"$15,000 MXN",CDMX,VENUSTIANO CARRANZA,Jardin Balbuena,3,1,,110,,,,2025-05-16 01:31:29
64678tc,DEPARTAMENTO,RENTA,"$16,500 MXN",CDMX,CUAUHTEMOC,Roma Sur,1,1,,45,,2,MAS DE 30,2025-05-16 01:31:33
64714tc,LOCAL COMERCIAL,RENTA,"$8,000 MXN",CDMX,GUSTAVO A. MADERO,La Purisima Ticoman,,SI,,20,,,,2025-05-16 01:31:35
64513tc,LOCAL COMERCIAL,RENTA,"$75,000 MXN",CDMX,BENITO JUAREZ,Insurgentes Mixcoac,,SI,,,,,MAS DE 30,2025-05-16 01:31:37
64530tc,DEPARTAMENTO,RENTA,"$9,000 MXN",CDMX,COYOACAN,Pedregal De Carrasco,2,1,,52,,,,2025-05-16 01:31:41
